Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New,link
"This Boy's Life","Tobias Wolff","3.98","—","—","10.16","9.99","1.38","https://www.amazon.co.uk/gp/product/0802136680"
"The Woman Warrior","Maxine Hong Kingston","3.73","—","—","—","—","1.18","https://www.amazon.co.uk/gp/product/0679721886"
"Existential Psychotherapy","Irvin D. Yalom","4.39","20.99","38.80","29.19","—","—","https://www.amazon.co.uk/gp/product/0465021476"
"You Don't Look Your Age...and Other Fairy Tales","Sheila Nevins","3.36","—","—","—","—","—","https://www.amazon.co.uk/gp/product/1250111323"
"Universal Harvester","John Darnielle","3.24","7.59","—","2.19","8.45","5.22","https://www.amazon.co.uk/gp/product/0374282102"
"Words for a Deaf Daughter","Paul West","3.83","—","—","11.80","—","—","https://www.amazon.co.uk/gp/product/0385231164"
"Redemption Road","John Hart","4.08","3.99","—","—","7.99","2.96","https://www.amazon.co.uk/gp/product/0312380364"
"Green Island","Shawna Yang Ryan","3.99","7.99","—","8.78","13.99","11.52","https://www.amazon.co.uk/gp/product/1101874252"
"Gut Instinct: What Your Stomach is Trying to Tell You","Pierre Pallardy","3.35","7.49","—","—","—","1.06","https://www.amazon.co.uk/gp/product/1594865426"
"The Great Divorce","C.S. Lewis","4.29","0.99","—","19.34","3.45","—","https://www.amazon.co.uk/gp/product/0006280560"
"East of Eden","John Steinbeck","4.38","3.99","—","29.78","7.37","8.28","https://www.amazon.co.uk/gp/product/0142000655"
"Teaching My Mother How to Give Birth","Warsan Shire","4.31","2.70","—","—","4.00","3.32","https://www.amazon.co.uk/gp/product/1905233299"
"Her Blue Body","Warsan Shire","4.64","—","—","—","—","—","https://www.amazon.co.uk/gp/product/1905233485"
"The Moon Reminded Me","Ellen Grace O'Brian","3.97","—","—","—","9.05","8.56","https://www.amazon.co.uk/gp/product/1938846990"
"Salt: A World History","Mark Kurlansky","3.74","6.99","—","15.64","9.01","5.00","https://www.amazon.co.uk/gp/product/0142001619"
"The Course of Love","Alain de Botton","4.05","4.99","—","29.99","8.99","—","https://www.amazon.co.uk/gp/product/0241145473"
"On Love","Alain de Botton","3.98","—","—","27.08","11.35","12.19","https://www.amazon.co.uk/gp/product/0802142400"
"The Examined Life: How We Lose and Find Ourselves","Stephen Grosz","3.91","3.99","—","3.99","8.19","4.99","https://www.amazon.co.uk/gp/product/0393349322"
"Status Anxiety","Alain de Botton","3.91","5.99","—","1.69","8.24","3.00","https://www.amazon.co.uk/gp/product/0375725350"
"Sérgio Y. vai à América","Alexandre Vidal Porto","3.87","—","—","—","—","—","https://www.amazon.co.uk/gp/product/8566382013"
"Boomerang: Travels in the New Third World","Michael   Lewis","3.90","—","—","2.37","—","7.56","https://www.amazon.co.uk/gp/product/0393343448"
"Feel the Fear and Do It Anyway","Susan  Jeffers","4.03","6.99","14.99","12.16","7.37","4.65","https://www.amazon.co.uk/gp/product/0449902927"
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness","Epictetus","4.23","4.99","—","14.89","7.99","8.43","https://www.amazon.co.uk/gp/product/006251346X"
"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability","Steve Krug","4.25","12.99","—","—","24.76","27.18","https://www.amazon.co.uk/gp/product/0321965515"
"TED Talks: The Official TED Guide to Public Speaking","Chris J. Anderson","4.16","7.99","—","37.34","8.99","2.32","https://www.amazon.co.uk/gp/product/0544634497"
"Ultimate Questions","Bryan Magee","3.99","8.32","11.66","12.26","8.76","9.37","https://www.amazon.co.uk/gp/product/0691170657"
"How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life","Scott Adams","4.10","9.99","—","27.95","10.99","8.49","https://www.amazon.co.uk/gp/product/1591846919"
"The Man with a Shattered World: The History of a Brain Wound","Alexander R. Luria","4.11","—","—","46.58","—","15.04","https://www.amazon.co.uk/gp/product/0674546253"
"The Lives of Others","Neel Mukherjee","3.65","4.99","—","0.50","8.19","1.06","https://www.amazon.co.uk/gp/product/0393351718"
"The Grapes of Wrath","John Steinbeck","3.96","0.99","—","—","7.37","8.28","https://www.amazon.co.uk/gp/product/067001690X"
"A Short Guide to a Happy Life","Anna Quindlen","3.95","2.49","11.21","—","—","—","https://www.amazon.co.uk/gp/product/0375504613"
"Child's Talk: Learning to Use Language","Jerome Bruner","4.00","—","—","—","15.48","3.89","https://www.amazon.co.uk/gp/product/0393953459"
"Failure is Not an Option: Mission Control From Mercury to Apollo 13 and Beyond","Gene Kranz","4.27","—","—","46.26","—","13.76","https://www.amazon.co.uk/gp/product/0425179877"
"The Demon-Haunted World: Science as a Candle in the Dark","Carl Sagan","4.27","—","19.66","19.66","—","14.96","https://www.amazon.co.uk/gp/product/0345409469"
"Seeing Further: Ideas, Endeavours, Discoveries and Disputes — The Story of Science Through 350 Years of the Royal Society","Bill Bryson","3.58","3.99","—","9.99","8.19","3.53","https://www.amazon.co.uk/gp/product/0007302568"
"Thinking, Fast and Slow","Daniel Kahneman","4.15","7.99","22.87","30.78","10.49","5.01","https://www.amazon.co.uk/gp/product/0374275637"
