Title,Author,Goodreads Rating,Kindle Price,Hardcover Price New,Hardcover Price Used,Paperback Price New,Paperback Price New,link
"London Orbital","Iain Sinclair","3.67","4.99","—","4.06","9.01","2.49","https://www.amazon.co.uk/gp/product/0141014741"
"Bel Canto","Ann Patchett","3.93","2.99","—","14.29","8.99","1.65","https://www.amazon.co.uk/gp/product/0060838728"
"The Secret Life of Bees","Sue Monk Kidd","4.05","5.99","18.61","16.42","7.37","1.23","https://www.amazon.co.uk/gp/product/0142001740"
"English Passengers","Matthew Kneale","4.06","4.99","—","6.40","—","4.05","https://www.amazon.co.uk/gp/product/038549744X"
"Bad Blood","Lorna Sage","3.54","4.99","—","0.50","2.97","0.01","https://www.amazon.co.uk/gp/product/0060938080"
"With the End in Mind: Dying, Death, and Wisdom in an Age of Denial","Kathryn Mannix","4.57","0.99","—","11.38","8.19","9.34","https://www.amazon.co.uk/gp/product/0316504483"
"Tales from Outer Suburbia","Shaun Tan","4.32","7.22","9.55","5.22","—","—","https://www.amazon.co.uk/gp/product/0771084021"
"A Youthful Diary","Daisaku Ikeda","4.64","—","—","23.82","—","9.57","https://www.amazon.co.uk/gp/product/0915678683"
"Twas the Nightshift Before Christmas","Adam Kay","4.19","2.99","6.99","2.79","—","—","https://www.amazon.co.uk/gp/product/1529018587"
"The Righteous Mind: Why Good People Are Divided by Politics and Religion","Jonathan Haidt","4.22","7.99","—","25.95","10.65","10.87","https://www.amazon.co.uk/gp/product/0307377903"
"Mauve: How One Man Invented a Colour That Changed the World","Simon Garfield","3.69","5.03","—","—","8.19","6.00","https://www.amazon.co.uk/gp/product/0393323137"
"Death in the East (Sam Wyndham # 4)","Abir  Mukherjee","4.35","6.99","9.72","12.61","6.99","—","https://www.amazon.co.uk/gp/product/1787300579"
"Somewhere Becoming Rain: Collected Writings on Philip Larkin","Clive James","4.14","7.99","9.56","4.48","—","—","https://www.amazon.co.uk/gp/product/1529028825"
"The Topeka School","Ben Lerner","3.61","—","—","—","—","—","https://www.amazon.co.uk/gp/product/0374277788"
"The Wall","John Lanchester","3.63","4.68","14.99","6.00","7.37","5.20","https://www.amazon.co.uk/gp/product/1324001631"
"Girl, Woman, Other","Bernardine Evaristo","4.43","4.99","12.90","7.54","—","10.77","https://www.amazon.co.uk/gp/product/0241364906"
"Fleishman Is in Trouble","Taffy Brodesser-Akner","3.70","5.99","15.19","9.34","6.99","—","https://www.amazon.co.uk/gp/product/0525510877"
"Autumn Light: Season of Fire and Farewells","Pico Iyer","4.02","5.78","12.24","9.43","7.37","8.28","https://www.amazon.co.uk/gp/product/0451493931"
"Sour: More Than Mere Taste: the Magical Element that Transforms Your Cooking","Mark Diacono","4.43","10.79","25.00","16.87","—","—","https://www.amazon.co.uk/gp/product/1787132269"
"Time and How to Spend It: The 7 Rules for Richer, Happier Days","James Wallman","3.48","—","—","—","—","—","https://www.amazon.co.uk/gp/product/0753552663"
"The Weather Machine: A Journey Inside the Forecast","Andrew  Blum","3.43","9.99","16.99","—","—","31.30","https://www.amazon.co.uk/gp/product/0062368613"
"Without the Banya We Would Perish: A History of the Russian Bathhouse","Ethan Pollock","4.00","19.97","21.02","22.00","—","—","https://www.amazon.co.uk/gp/product/0195395484"
"The Boundless Sea: A Human History of the Oceans","David Abulafia","4.26","14.99","23.93","22.18","18.99","—","https://www.amazon.co.uk/gp/product/1846145082"
"Legacy: One Family, a Cup of Tea and the Company that Took On the World","Thomas Harding","4.19","12.99","14.15","18.96","9.67","—","https://www.amazon.co.uk/gp/product/1785150898"
"21 Letters on Life and Its Challenges","Charles Handy","4.43","4.99","13.59","9.05","9.99","6.42","https://www.amazon.co.uk/gp/product/1786331950"
"Range: Why Generalists Triumph in a Specialized World","David   Epstein","4.18","9.99","15.30","15.37","—","—","https://www.amazon.co.uk/gp/product/0735214484"
"Anxious Times: Medicine and Modernity in Nineteenth-Century Britain","Amelia Bonea","3.00","36.58","38.50","—","—","—","https://www.amazon.co.uk/gp/product/0822945517"
"Narrative Economics: How Stories Go Viral and Drive Major Economic Events","Robert J. Shiller","3.63","12.04","18.00","11.00","14.99","—","https://www.amazon.co.uk/gp/product/0691182299"
"Extreme Economies: Survival, Failure, Future – Lessons from the World’s Limits","Richard  Davies","4.19","9.99","15.42","12.50","9.99","—","https://www.amazon.co.uk/gp/product/1787631990"
"Unbound: How Inequality Constricts Our Economy and What We Can Do about It","Heather Boushey","4.40","12.28","12.93","11.58","—","—","https://www.amazon.co.uk/gp/product/0674919319"
"Last Days of the Bus Club","Chris  Stewart","4.01","3.79","—","—","9.99","7.89","https://www.amazon.co.uk/gp/product/1908745436"
"The Miracle of Castel di Sangro: A Tale of Passion and Folly in the Heart of Italy","Joe McGinniss","4.17","—","—","5.89","11.99","11.36","https://www.amazon.co.uk/gp/product/0767905997"
"We Are All Stardust: Leading Scientists Talk About Their Work, Their Lives, and the Mysteries of Our Existence","Stefan Klein","4.15","9.49","—","—","9.99","1.69","https://www.amazon.co.uk/gp/product/1615190597"
"Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age","Michael A. Hiltzik","4.12","—","—","10.18","—","11.11","https://www.amazon.co.uk/gp/product/0887309895"
"Mrs. Everything","Jennifer Weiner","3.85","4.99","—","8.85","8.99","8.86","https://www.amazon.co.uk/gp/product/1501133489"
"Save Me the Plums: My Gourmet Memoir","Ruth Reichl","4.10","—","17.59","11.05","14.48","—","https://www.amazon.co.uk/gp/product/1400069998"
"Will My Cat Eat My Eyeballs? Big Questions from Tiny Mortals About Death","Caitlin Doughty","4.17","7.99","14.99","8.29","10.65","10.87","https://www.amazon.co.uk/gp/product/039365270X"
"Underland","Robert Macfarlane","4.24","7.99","16.00","13.40","8.99","—","https://www.amazon.co.uk/gp/product/0393242145"
"Invisible Women: Data Bias in a World Designed for Men","Caroline Criado Perez","4.44","—","—","20.69","13.75","—","https://www.amazon.co.uk/gp/product/1419729071"
"How To: Absurd Scientific Advice for Common Real-World Problems","Randall Munroe","4.19","8.99","13.59","9.51","11.91","—","https://www.amazon.co.uk/gp/product/0525537090"
"Never Enough: The Neuroscience and Experience of Addiction","Judith Grisel","4.06","5.84","—","17.46","6.15","2.55","https://www.amazon.co.uk/gp/product/0385542844"
"Blueprint: The Evolutionary Origins of a Good Society","Nicholas A. Christakis","3.94","9.99","23.26","7.00","8.99","8.81","https://www.amazon.co.uk/gp/product/0316230030"
"Say Nothing: A True Story of Murder and Memory in Northern Ireland","Patrick Radden Keefe","4.43","7.49","10.83","15.41","9.99","10.77","https://www.amazon.co.uk/gp/product/0385521316"
"Upheaval: Turning Points for Nations in Crisis","Jared Diamond","3.85","—","—","33.91","18.49","—","https://www.amazon.co.uk/gp/product/0316409138"
"How to Hide an Empire: A History of the Greater United States","Daniel Immerwahr","4.45","—","—","45.99","15.50","—","https://www.amazon.co.uk/gp/product/0374172145"
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed","Lori Gottlieb","4.38","1.99","—","—","14.99","—","https://www.amazon.co.uk/gp/product/1328662055"
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee","Casey Cep","3.81","9.99","16.00","12.41","7.99","—","https://www.amazon.co.uk/gp/product/1101947861"
"American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century","Maureen Callahan","4.08","11.99","22.99","17.89","11.96","—","https://www.amazon.co.uk/gp/product/052542864X"
"The Unwinding of the Miracle: A Memoir of Life, Death, and Everything That Comes After","Julie Yip-Williams","4.11","0.99","7.87","3.93","12.99","8.16","https://www.amazon.co.uk/gp/product/0525511350"
"Long Live the Tribe of Fatherless Girls","T. Kira Madden","4.30","—","16.99","—","13.95","—","https://www.amazon.co.uk/gp/product/1635571855"
"Inheritance: A Memoir of Genealogy, Paternity, and Love","Dani Shapiro","3.91","5.69","—","—","8.19","8.93","https://www.amazon.co.uk/gp/product/1524732710"
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive","Stephanie  Land","3.73","7.99","14.99","12.16","8.99","—","https://www.amazon.co.uk/gp/product/0316505110"
"More Than Enough: Claiming Space for Who You Are (No Matter What They Say)","Elaine Welteroth","4.40","4.99","—","13.64","11.99","12.16","https://www.amazon.co.uk/gp/product/0525561587"
"Prognosis: A Memoir of My Brain","Sarah Vallance","3.86","3.98","13.91","8.49","8.99","—","https://www.amazon.co.uk/gp/product/1542043026"
"A Woman Is No Man","Etaf Rum","4.24","—","—","—","—","—","https://www.amazon.co.uk/gp/product/0062699768"
"Ask Again, Yes","Mary Beth Keane","4.01","9.99","11.99","12.16","8.99","—","https://www.amazon.co.uk/gp/product/1982106980"
