title,author,isbn,avg rating,shelves,date added
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed","Gottlieb, Lori *",1328662055,4.37,"to-read
[edit]","Nov 05, 2019"
"Furious Hours: Murder, Fraud, and the Last Trial of Harper Lee","Cep, Casey *",1101947861,3.8,"to-read
[edit]","Nov 05, 2019"
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,"Callahan, Maureen",052542864X,4.08,"to-read
[edit]","Nov 05, 2019"
Long Live the Tribe of Fatherless Girls,"Madden, T Kira *",1635571855,4.28,"to-read
[edit]","Nov 05, 2019"
"Inheritance: A Memoir of Genealogy, Paternity, and Love","Shapiro, Dani *",1524732710,3.89,"to-read
[edit]","Nov 05, 2019"
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive","Land, Stephanie *",316505110,3.73,"to-read
[edit]","Nov 05, 2019"
More Than Enough: Claiming Space for Who You Are,"Welteroth, Elaine",525561587,4.43,"to-read
[edit]","Nov 05, 2019"
A Woman Is No Man,"Rum, Etaf *",62699768,4.25,"to-read
[edit]","Nov 05, 2019"
On Earth We're Briefly Gorgeous,"Vuong, Ocean",525562028,4.04,"to-read
[edit]","Nov 05, 2019"
England: Poems from a School,"Clanchy, Kate *",1509886605,4.64,"to-read
[edit]","Nov 04, 2019"
Newborn,"Clanchy, Kate *",330419315,4.25,"to-read
[edit]","Nov 04, 2019"
The Not-Dead and The Saved and Other Stories,"Clanchy, Kate *",,3.95,"to-read
[edit]","Nov 04, 2019"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",152473165X,4.4,"to-read
[edit]","Oct 17, 2019"
Gotta Get Theroux This: My Life and Strange Times in Television,"Theroux, Louis",1509880364,3.94,"to-read
[edit]","Sep 30, 2019"
Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew",,4.37,"to-read
[edit]","Aug 25, 2019"
Beloved,"Morrison, Toni",1400033411,3.87,"to-read
[edit]","Aug 06, 2019"
The Perseverance,"Antrobus, Raymond",1908058528,4.34,"to-read
[edit]","Jul 03, 2019"
Staying Power: The History of Black People in Britain,"Fryer, Peter",861047494,4.36,"to-read
[edit]","Jun 28, 2019"
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress","Pinker, Steven *",525427570,4.23,"to-read
[edit]","Jun 21, 2019"
"Working: Researching, Interviewing, Writing","Caro, Robert A.",525656340,4.43,"to-read
[edit]","Jun 21, 2019"
Digital Minimalism: Choosing a Focused Life in a Noisy World,"Newport, Cal",,4.07,"to-read
[edit]","Jun 21, 2019"
A Fistful of Shells: West Africa from the Rise of the Slave Trade to the Age of Revolution,"Green, Toby",241003172,4.09,"to-read
[edit]","Jun 21, 2019"
Patsy,"Dennis-Benn, Nicole *",1631495631,3.89,"to-read
[edit]","Jun 21, 2019"
"""I Will Not Be Erased"": Our stories about growing up as people of colour",gal-dem,,4.33,"to-read
[edit]","May 26, 2019"
Bad Behavior,"Gaitskill, Mary",679723277,3.89,"to-read
[edit]","May 14, 2019"
Trick Mirror: Reflections on Self-Delusion,"Tolentino, Jia *",525510540,4.17,"to-read
[edit]","May 14, 2019"
Letters from London: Seven Essays by C.L.R. James,"James, C.L.R.",1902669614,3.45,"to-read
[edit]","Mar 23, 2019"
The Quiet American,"Greene, Graham",143039024,3.95,"to-read
[edit]","Mar 04, 2019"
Graham Greene: A Life in Letters,"Greene, Graham",316727938,4.1,"to-read
[edit]","Mar 04, 2019"
A Sort Of Life,"Greene, Graham",671782185,3.71,"to-read
[edit]","Mar 04, 2019"
The Sisterhood: A Love Letter to the Women Who Have Shaped Me,"Buchanan, Daisy",1472238850,3.72,"to-read
[edit]","Feb 21, 2019"
The Life and Times of the Thunderbolt Kid,"Bryson, Bill",076791936X,3.93,"to-read
[edit]","Feb 17, 2019"
The First Fifteen Lives of Harry August,"North, Claire",,4.02,"to-read
[edit]","Jan 02, 2019"
Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives,"Miodownik, Mark",054485019X,4.13,"to-read
[edit]","Nov 27, 2018"
Make It Ahead: A Barefoot Contessa Cookbook,"Garten, Ina *",307464881,4.14,"to-read
[edit]","Nov 02, 2018"
The Order of Time,"Rovelli, Carlo",073521610X,4.1,"to-read
[edit]","Nov 02, 2018"
Broad Band: The Untold Story of the Women Who Made the Internet,"Evans, Claire L *",735211752,3.98,"to-read
[edit]","Nov 02, 2018"
Heart Berries,"Mailhot, Terese Marie *",1619023342,3.84,"to-read
[edit]","Nov 02, 2018"
Skin in the Game: Hidden Asymmetries in Daily Life,"Taleb, Nassim Nicholas *",042528462X,3.88,"to-read
[edit]","Nov 02, 2018"
Morvern Callar,"Warner, Alan",038548741X,3.69,"to-read
[edit]","Nov 02, 2018"
Fruit of the Drunken Tree,"Contreras, Ingrid Rojas *",,3.95,"to-read
[edit]","Nov 02, 2018"
The Pragmatic Programmer: From Journeyman to Master,"Hunt, Andy *",020161622X,4.32,"to-read
[edit]","Sep 27, 2018"
Diana Henry: A free selection of recipes from the award-winning food writer,"Henry, Diana",,3.64,"to-read
[edit]","Sep 13, 2018"
Things I Don't Want to Know,"Levy, Deborah",1907903631,4.13,"to-read
[edit]","Sep 12, 2018"
Facts Are Subversive: Political Writing from a Decade without a Name,"Garton Ash, Timothy",1848870892,3.73,"to-read
[edit]","Aug 30, 2018"
The Letters Of Evelyn Waugh,"Waugh, Evelyn",1857992458,4.15,"to-read
[edit]","Aug 30, 2018"
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys","Albertine, Viv",571297757,4.26,"to-read
[edit]","Jul 27, 2018"
Naked,"Sedaris, David",,4.09,"to-read
[edit]","Jul 15, 2018"
The Immeasurable World: Journeys in Desert Places,"Atkins, William",571319726,3.52,"to-read
[edit]","Jul 03, 2018"
Sea Room: An Island Life in the Hebrides,"Nicolson, Adam",865476365,3.95,"to-read
[edit]","Jul 03, 2018"
Utopia Parkway: The Life and Work of Joseph Cornell,"Solomon, Deborah *",878466843,4.08,"to-read
[edit]","Jan 08, 2018"
The House of Wittgenstein: A Family at War,"Waugh, Alexander",385520603,3.75,"to-read
[edit]","Jan 08, 2018"
The Greatest Comeback: From Genocide To Football Glory: The Story of Béla Guttman,"Bolchover, David *",,4.06,"to-read
[edit]","Dec 25, 2017"
"Resurrection Bay (Caleb Zelic, #1)","Viskic, Emma *",,3.76,"to-read
[edit]","Dec 08, 2017"
Building Microservices: Designing Fine-Grained Systems,"Newman, Sam",1491950358,4.18,"to-read
[edit]","Nov 27, 2017"
"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions","Adichie, Chimamanda Ngozi",152473313X,4.52,"to-read
[edit]","Nov 22, 2017"
How Dare the Sun Rise: Memoirs of a War Child,"Uwiringiyimana, Sandra",62470140,4.28,"to-read
[edit]","Nov 22, 2017"
The Alice Network,"Quinn, Kate *",62654195,4.27,"to-read
[edit]","Nov 22, 2017"
Let Us Now Praise Famous Men,"Agee, James",141188499,4.04,"to-read
[edit]","Sep 28, 2017"
Lit,"Karr, Mary",60596988,3.92,"to-read
[edit]","Sep 28, 2017"
Me Talk Pretty One Day,"Sedaris, David",349113912,3.99,"to-read
[edit]","Sep 28, 2017"
All Over But the Shoutin',"Bragg, Rick",679774025,4.11,"to-read
[edit]","Sep 28, 2017"
This Boy's Life,"Wolff, Tobias",802136680,3.98,"to-read
[edit]","Sep 28, 2017"
The Woman Warrior,"Kingston, Maxine Hong",679721886,3.73,"to-read
[edit]","Sep 28, 2017"
Existential Psychotherapy,"Yalom, Irvin D.",465021476,4.41,"to-read
[edit]","Aug 22, 2017"
You Don't Look Your Age...and Other Fairy Tales,"Nevins, Sheila",1250111323,3.36,"to-read
[edit]","Jul 05, 2017"
Universal Harvester,"Darnielle, John *",374282102,3.23,"to-read
[edit]","Jul 05, 2017"
"The Joy of Less, A Minimalist Living Guide: How to Declutter, Organize, and Simplify Your Life","Jay, Francine *",,3.8,"to-read
[edit]","Jul 05, 2017"
Words for a Deaf Daughter,"West, Paul",385231164,3.83,"to-read
[edit]","Jun 08, 2017"
Green Island,"Ryan, Shawna Yang *",1101874252,4.01,"to-read
[edit]","Apr 26, 2017"
Gut Instinct: What Your Stomach is Trying to Tell You,"Pallardy, Pierre",1594865426,3.35,"to-read
[edit]","Feb 25, 2017"
The Great Divorce,"Lewis, C.S.",6280560,4.28,"to-read
[edit]","Feb 21, 2017"
Teaching My Mother How to Give Birth,"Shire, Warsan *",1905233299,4.3,"to-read
[edit]","Jan 02, 2017"
Her Blue Body,"Shire, Warsan *",1905233485,4.64,"to-read
[edit]","Jan 02, 2017"
Titanic,"Minamore, Bridget",,4.3,"to-read
[edit]","Jan 02, 2017"
The Moon Reminded Me,"O'Brian, Ellen Grace *",1938846990,3.95,"to-read
[edit]","Jan 02, 2017"
Salt: A World History,"Kurlansky, Mark",142001619,3.74,"to-read
[edit]","Dec 29, 2016"
The Course of Love,"de Botton, Alain *",241145473,4.05,"to-read
[edit]","Dec 17, 2016"
On Love,"de Botton, Alain *",802142400,3.99,"to-read
[edit]","Dec 17, 2016"
Status Anxiety,"de Botton, Alain *",375725350,3.91,"to-read
[edit]","Sep 07, 2016"
Sérgio Y. vai à América,"Porto, Alexandre Vidal",,3.78,"to-read
[edit]","Sep 05, 2016"
Boomerang: Travels in the New Third World,"Lewis, Michael",393343448,3.9,"to-read
[edit]","Sep 02, 2016"
Feel the Fear and Do It Anyway,"Jeffers, Susan",449902927,4.03,"to-read
[edit]","Aug 07, 2016"
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",Epictetus,006251346X,4.24,"to-read
[edit]","Aug 07, 2016"
"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability","Krug, Steve *",321965515,4.25,"to-read
[edit]","Aug 07, 2016"
TED Talks: The Official TED Guide to Public Speaking,"Anderson, Chris J.",544634497,4.15,"to-read
[edit]","May 27, 2016"
Ultimate Questions,"Magee, Bryan",691170657,3.96,"to-read
[edit]","May 01, 2016"
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,"Adams, Scott",1591846919,4.1,"to-read
[edit]","May 01, 2016"
Man with a Shattered World: The History of a Brain Wound,"Luria, Alexander R.",674546253,4.11,"to-read
[edit]","May 01, 2016"
Child's Talk: Learning to Use Language,"Bruner, Jerome S.",393953459,4,"to-read
[edit]","Sep 23, 2015"
Failure is Not an Option: Mission Control From Mercury to Apollo 13 and Beyond,"Kranz, Gene",425179877,4.28,"to-read
[edit]","Sep 23, 2015"
The Demon-Haunted World: Science as a Candle in the Dark,"Sagan, Carl",345409469,4.27,"to-read
[edit]","Sep 22, 2015"
"Thinking, Fast and Slow","Kahneman, Daniel",374275637,4.16,"to-read
[edit]","Sep 22, 2015"
