title,author,isbn,avg rating,shelves,date added
The Grapes of Wrath,"Steinbeck, John",067001690X,3.97,"to-read, library
[edit]","May 01, 2016"
"Natural: How Faith in Nature's Goodness Leads to Harmful Fads, Unjust Laws, and Flawed Science","Levinovitz, Alan *",807010871,3.88,"to-read
[edit]","Dec 06, 2020"
A Little History of Poetry,"Carey, John",300232225,3.81,"to-read
[edit]","Dec 06, 2020"
The Madman's Library: The Greatest Curiosities of Literature,"Brooke-Hitching, Edward",1471166910,4.42,"to-read
[edit]","Dec 06, 2020"
A World Beneath the Sands: The Golden Age of Egyptology,"Wilkinson, Toby",1324006897,4.02,"to-read
[edit]","Dec 06, 2020"
A Place For Everything: The Curious History of Alphabetical Order,"Flanders, Judith *",,3.42,"to-read
[edit]","Dec 06, 2020"
Scoff: A History of Food and Class in Britain,"Vogler, Pen",178649647X,3.45,"to-read
[edit]","Dec 06, 2020"
Wayfinding: The Art and Science of How We Find and Lose Our Way,"Bond, Michael",,3.71,"to-read
[edit]","Nov 29, 2020"
Hidden Valley Road: Inside the Mind of an American Family,"Kolker, Robert *",038554376X,4.15,"to-read
[edit]","Nov 29, 2020"
The Idea of the Brain: The Past and Future of Neuroscience,"Cobb, Matthew",1541646851,4.19,"to-read
[edit]","Nov 29, 2020"
Burning the Books: A History of the Deliberate Destruction of Knowledge,"Ovenden, Richard",674241207,3.99,"to-read
[edit]","Nov 29, 2020"
Footprints: In Search of Future Fossils,"Farrier, David",374157332,3.96,"to-read
[edit]","Nov 29, 2020"
Magdalena: River of Dreams,"Davis, Wade",073527892X,4.24,"to-read
[edit]","Nov 29, 2020"
Unofficial Britain: Journeys Through Unexpected Places,"Rees, Gareth E. *",,4.28,"to-read
[edit]","Nov 29, 2020"
The Lost Pianos of Siberia,"Roberts, Sophy",802149286,4.14,"to-read
[edit]","Nov 29, 2020"
"Home Cookery Year: Four Seasons, Over 200 Recipes for All Possible Occasions","Thomson, Claire",1787134873,2.5,"to-read
[edit]","Nov 29, 2020"
Carpathia: Food from the heart of Romania,"Georgescu, Irina *",711241821,4.45,"to-read
[edit]","Nov 29, 2020"
The Roasting Tin Around the World: Global One Dish Dinners,"Iyer, Rukmini",1473572142,4.65,"to-read
[edit]","Nov 29, 2020"
Stranger in the Shogun's City: A Japanese Woman and Her World,"Stanley, Amy *",1501188526,3.74,"to-read
[edit]","Nov 29, 2020"
